PipelineID;Pipeline;Input;F1 score;Precision;Recall;Pickle file name;Datetime;Sklearn version;Validation set
1_Audio;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.4323099515240196 macro;0.5149697412036615 macro;0.7334321280379372 macro;;09_02_2022_00_50_51;1.0;../data/somef_data_test.csv
2_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.464129209966195 macro;0.5195005647963715 macro;0.7681090693538827 macro;;09_02_2022_00_59_14;1.0;../data/somef_data_test.csv
3_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.4685037623996571 macro;0.5213308678604013 macro;0.7904801422643746 macro;;09_02_2022_01_07_04;1.0;../data/somef_data_test.csv
4_Audio;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.49667641655108363 macro;0.5252604541338366 macro;0.7830823947836396 macro;;09_02_2022_01_28_19;1.0;../data/somef_data_test.csv
5_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.33909350888154044 macro;0.5110421336063081 macro;0.6902904564315353 macro;;09_02_2022_01_49_25;1.0;../data/somef_data_test.csv
6_Audio;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.48511278195488716 macro;0.521448326578899 macro;0.7544872554831061 macro;;09_02_2022_01_57_11;1.0;../data/somef_data_test.csv
7_Audio;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.7778346837645265 macro;0.6965517241379311 macro;0.991387747112938 macro;;09_02_2022_02_05_03;1.0;../data/abstracts_test.csv
8_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9309358288770053 macro;0.88 macro;0.9982384028185555 macro;;09_02_2022_02_13_56;1.0;../data/abstracts_test.csv
9_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.9828550377846293 macro;0.9672131147540983 macro;0.999608533959679 macro;;09_02_2022_02_22_17;1.0;../data/abstracts_test.csv
10_Audio;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('randomforest', RandomForestClassifier(random_state=1))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;1.0 macro;1.0 macro;1.0 macro;;09_02_2022_02_43_52;1.0;../data/abstracts_test.csv
11_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomualnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.6543708462747053 macro;0.5999707911427618 macro;0.9442624470748215 macro;;09_02_2022_03_05_20;1.0;../data/abstracts_test.csv
12_Audio;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('multinomialnb', MultinomialNB())];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.7631375926224949 macro;0.6875452524610988 macro;0.9563000278146924 macro;;09_02_2022_03_13_41;1.0;../data/abstracts_test.csv
13_Audio;[('vectorizer', CountVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.4487153326661423 macro;0.5192178263222359 macro;0.8261809901957238 macro;;09_02_2022_03_22_24;1.0;../data/merged_somef_data_somef_data_description.csv
14_Audio;[('tfidf', TfidfVectorizer(tokenizer=<function word_tokenize at 0x7f2691aad1f0>)), ('undersample', RandomUnderSampler(sampling_strategy='majority')), ('linearsvc', LinearSVC(random_state=42))];../data/merged_abstracts_train_somef_data_train_somef_data_description_train.csv;0.506024840182869 macro;0.5306542426313827 macro;0.886672349649675 macro;;09_02_2022_03_33_24;1.0;../data/merged_somef_data_somef_data_description.csv
